"[run number]","mr_marker","random-pairing","game","mr_learning_style","ethnic_bias?","mr_strategy","[step]","success?","collapse?"
"124","0","0.1","2","0","true","0","3690","true","false"
"128","0","0.1","2","0","true","0","1669","true","false"
"132","0","0.1","2","0","true","0","1385","true","false"
"133","0","0.1","2","0","true","0","1706","true","false"
"131","0","0.1","2","0","true","0","2776","true","false"
"130","0","0.1","2","0","true","0","3205","true","false"
"135","0","0.1","2","0","true","0","1162","true","false"
"134","0","0.1","2","0","true","0","2648","true","false"
"136","0","0.1","2","0","true","0","1358","true","false"
"138","0","0.1","2","0","true","0","940","true","false"
"137","0","0.1","2","0","true","0","1165","true","false"
"139","0","0.1","2","0","true","0","848","true","false"
"141","0","0.1","2","0","true","0","731","true","false"
"143","0","0.1","2","0","true","0","1034","true","false"
"140","0","0.1","2","0","true","0","1905","true","false"
"142","0","0.1","2","0","true","0","1685","true","false"
"147","0","0.1","2","0","true","0","514","true","false"
"144","0","0.1","2","0","true","0","2554","true","false"
"145","0","0.1","2","0","true","0","1899","true","false"
"148","0","0.1","2","0","true","0","1179","true","false"
"149","0","0.1","2","0","true","0","572","true","false"
"146","0","0.1","2","0","true","0","2179","true","false"
"150","0","0.1","2","0","true","0","922","true","false"
"153","0","0.1","2","0","true","0","791","true","false"
"152","0","0.1","2","0","true","0","1044","true","false"
"154","0","0.1","2","0","true","0","857","true","false"
"155","0","0.1","2","0","true","0","1164","true","false"
"156","0","0.1","2","0","true","0","1432","true","false"
"157","0","0.1","2","0","true","0","1065","true","false"
"151","0","0.1","2","0","true","0","2628","true","false"
"161","0","0.1","2","0","true","0","2233","true","false"
"159","0","0.1","2","0","true","0","2705","true","false"
"160","0","0.1","2","0","true","0","3397","true","false"
"158","0","0.1","2","0","true","0","4116","true","false"
"163","0","0.1","2","0","true","0","1540","true","false"
"165","0","0.1","2","0","true","0","917","true","false"
"164","0","0.1","2","0","true","0","1651","true","false"
"167","0","0.1","2","0","true","0","1104","true","false"
"168","0","0.1","2","0","true","0","804","true","false"
"169","0","0.1","2","0","true","0","1055","true","false"
"162","0","0.1","2","0","true","0","3671","true","false"
"166","0","0.1","2","0","true","0","2549","true","false"
"170","0","0.1","2","0","true","0","944","true","false"
"174","0","0.1","2","0","true","0","771","true","false"
"172","0","0.1","2","0","true","0","918","true","false"
"171","0","0.1","2","0","true","0","1401","true","false"
"175","0","0.1","2","0","true","0","518","false","true"
"173","0","0.1","2","0","true","0","1513","true","false"
"177","0","0.1","2","0","true","0","1432","true","false"
"180","0","0.1","2","0","true","0","63","false","true"
"178","0","0.1","2","0","true","0","1372","true","false"
"179","0","0.1","2","0","true","0","1288","true","false"
"181","0","0.1","2","0","true","0","398","true","false"
"176","0","0.1","2","0","true","0","2098","true","false"
"183","0","0.1","2","0","true","0","1407","true","false"
"182","0","0.1","2","0","true","0","1441","true","false"
"185","0","0.1","2","0","true","0","1168","true","false"
"184","0","0.1","2","0","true","0","2230","true","false"
"186","0","0.1","2","0","true","0","1130","true","false"
"188","0","0.1","2","0","true","0","1134","true","false"
"187","0","0.1","2","0","true","0","1883","true","false"
"191","0","0.1","2","0","true","0","397","true","false"
"190","0","0.1","2","0","true","0","1259","true","false"
"189","0","0.1","2","0","true","0","1281","true","false"
"195","0","0.1","2","0","true","0","1428","true","false"
"194","0","0.1","2","0","true","0","1522","true","false"
"193","0","0.1","2","0","true","0","2066","true","false"
"192","0","0.1","2","0","true","0","2558","true","false"
"196","0","0.1","2","0","true","0","876","true","false"
"198","0","0.1","2","0","true","0","914","true","false"
"199","0","0.1","2","0","true","0","842","true","false"
"201","0","0.1","3","0","true","0","881","true","false"
"197","0","0.1","2","0","true","0","2570","true","false"
"200","0","0.1","2","0","true","0","1823","true","false"
"202","0","0.1","3","0","true","0","1870","true","false"
"205","0","0.1","3","0","true","0","867","false","true"
"203","0","0.1","3","0","true","0","1549","true","false"
"204","0","0.1","3","0","true","0","1517","true","false"
"206","0","0.1","3","0","true","0","1545","true","false"
"209","0","0.1","3","0","true","0","1282","true","false"
"210","0","0.1","3","0","true","0","797","true","false"
"212","0","0.1","3","0","true","0","908","true","false"
"208","0","0.1","3","0","true","0","2504","true","false"
"211","0","0.1","3","0","true","0","1788","true","false"
"207","0","0.1","3","0","true","0","3994","true","false"
"214","0","0.1","3","0","true","0","1064","true","false"
"213","0","0.1","3","0","true","0","1503","true","false"
"218","0","0.1","3","0","true","0","255","false","true"
"217","0","0.1","3","0","true","0","596","true","false"
"215","0","0.1","3","0","true","0","1483","true","false"
"216","0","0.1","3","0","true","0","1175","true","false"
"220","0","0.1","3","0","true","0","721","true","false"
"219","0","0.1","3","0","true","0","914","true","false"
"223","0","0.1","3","0","true","0","957","true","false"
"224","0","0.1","3","0","true","0","995","true","false"
"222","0","0.1","3","0","true","0","1675","true","false"
"221","0","0.1","3","0","true","0","2126","true","false"
"226","0","0.1","3","0","true","0","732","true","false"
"228","0","0.1","3","0","true","0","531","true","false"
"225","0","0.1","3","0","true","0","1438","true","false"
"229","0","0.1","3","0","true","0","1034","true","false"
"227","0","0.1","3","0","true","0","1730","true","false"
"230","0","0.1","3","0","true","0","924","true","false"
"234","0","0.1","3","0","true","0","694","true","false"
"232","0","0.1","3","0","true","0","1101","true","false"
"231","0","0.1","3","0","true","0","1650","true","false"
"235","0","0.1","3","0","true","0","1437","true","false"
"233","0","0.1","3","0","true","0","2803","true","false"
"236","0","0.1","3","0","true","0","1854","true","false"
"238","0","0.1","3","0","true","0","895","true","false"
"237","0","0.1","3","0","true","0","1501","true","false"
"241","0","0.1","3","0","true","0","1023","true","false"
"239","0","0.1","3","0","true","0","1381","true","false"
"240","0","0.1","3","0","true","0","1324","true","false"
"242","0","0.1","3","0","true","0","1276","true","false"
"245","0","0.1","3","0","true","0","824","true","false"
"243","0","0.1","3","0","true","0","971","true","false"
"244","0","0.1","3","0","true","0","998","true","false"
"247","0","0.1","3","0","true","0","352","true","false"
"248","0","0.1","3","0","true","0","1310","true","false"
"250","0","0.1","3","0","true","0","2004","true","false"
"251","0","0.1","3","0","true","0","1316","true","false"
"246","0","0.1","3","0","true","0","2990","true","false"
"252","0","0.1","3","0","true","0","764","true","false"
"253","0","0.1","3","0","true","0","522","true","false"
"249","0","0.1","3","0","true","0","3783","true","false"
"255","0","0.1","3","0","true","0","736","true","false"
"256","0","0.1","3","0","true","0","1256","true","false"
"254","0","0.1","3","0","true","0","1663","true","false"
"258","0","0.1","3","0","true","0","790","true","false"
"257","0","0.1","3","0","true","0","1444","true","false"
"259","0","0.1","3","0","true","0","930","true","false"
"263","0","0.1","3","0","true","0","500","true","false"
"261","0","0.1","3","0","true","0","1472","true","false"
"264","0","0.1","3","0","true","0","1016","true","false"
"262","0","0.1","3","0","true","0","1632","true","false"
"265","0","0.1","3","0","true","0","1111","true","false"
"267","0","0.1","3","0","true","0","853","true","false"
"260","0","0.1","3","0","true","0","3535","true","false"
"268","0","0.1","3","0","true","0","1670","true","false"
"270","0","0.1","3","0","true","0","1003","true","false"
"266","0","0.1","3","0","true","0","2652","true","false"
"271","0","0.1","3","0","true","0","836","true","false"
"269","0","0.1","3","0","true","0","2488","true","false"
"274","0","0.1","3","0","true","0","593","true","false"
"273","0","0.1","3","0","true","0","1155","true","false"
"275","0","0.1","3","0","true","0","534","true","false"
"272","0","0.1","3","0","true","0","1623","true","false"
"277","0","0.1","3","0","true","0","802","true","false"
"276","0","0.1","3","0","true","0","1816","true","false"
"278","0","0.1","3","0","true","0","1530","true","false"
"279","0","0.1","3","0","true","0","1127","true","false"
"283","0","0.1","3","0","true","0","93","false","true"
"280","0","0.1","3","0","true","0","1467","true","false"
"281","0","0.1","3","0","true","0","971","true","false"
"282","0","0.1","3","0","true","0","1776","true","false"
"286","0","0.1","3","0","true","0","1560","true","false"
"287","0","0.1","3","0","true","0","1229","true","false"
"284","0","0.1","3","0","true","0","2535","true","false"
"285","0","0.1","3","0","true","0","3050","true","false"
"288","0","0.1","3","0","true","0","1353","true","false"
"290","0","0.1","3","0","true","0","1037","true","false"
"291","0","0.1","3","0","true","0","755","true","false"
"292","0","0.1","3","0","true","0","668","true","false"
"289","0","0.1","3","0","true","0","2111","true","false"
"294","0","0.1","3","0","true","0","1215","true","false"
"293","0","0.1","3","0","true","0","1278","true","false"
"297","0","0.1","3","0","true","0","932","true","false"
"296","0","0.1","3","0","true","0","1570","true","false"
"295","0","0.1","3","0","true","0","2204","true","false"
"298","0","0.1","3","0","true","0","1621","true","false"
"300","0","0.1","3","0","true","0","1193","true","false"
"301","0","0.1","4","0","true","0","1336","true","false"
"299","0","0.1","3","0","true","0","1898","true","false"
"304","0","0.1","4","0","true","0","608","true","false"
"303","0","0.1","4","0","true","0","992","true","false"
"302","0","0.1","4","0","true","0","1265","true","false"
"305","0","0.1","4","0","true","0","1093","true","false"
"307","0","0.1","4","0","true","0","1062","true","false"
"309","0","0.1","4","0","true","0","565","true","false"
"311","0","0.1","4","0","true","0","649","true","false"
"308","0","0.1","4","0","true","0","1783","true","false"
"310","0","0.1","4","0","true","0","897","false","true"
"314","0","0.1","4","0","true","0","1137","true","false"
"306","0","0.1","4","0","true","0","3425","true","false"
"312","0","0.1","4","0","true","0","1684","true","false"
"315","0","0.1","4","0","true","0","654","true","false"
"316","0","0.1","4","0","true","0","851","true","false"
"313","0","0.1","4","0","true","0","2426","true","false"
"319","0","0.1","4","0","true","0","923","true","false"
"317","0","0.1","4","0","true","0","1795","true","false"
"321","0","0.1","4","0","true","0","609","true","false"
"318","0","0.1","4","0","true","0","1929","true","false"
"320","0","0.1","4","0","true","0","1205","true","false"
"324","0","0.1","4","0","true","0","869","true","false"
"322","0","0.1","4","0","true","0","1884","true","false"
"325","0","0.1","4","0","true","0","1665","true","false"
"323","0","0.1","4","0","true","0","2646","true","false"
"327","0","0.1","4","0","true","0","1197","true","false"
"326","0","0.1","4","0","true","0","2640","true","false"
"328","0","0.1","4","0","true","0","1407","true","false"
"329","0","0.1","4","0","true","0","1390","true","false"
"332","0","0.1","4","0","true","0","1041","true","false"
"330","0","0.1","4","0","true","0","2196","true","false"
"334","0","0.1","4","0","true","0","446","true","false"
"331","0","0.1","4","0","true","0","1905","true","false"
"333","0","0.1","4","0","true","0","1645","true","false"
"336","0","0.1","4","0","true","0","603","true","false"
"339","0","0.1","4","0","true","0","238","false","true"
"335","0","0.1","4","0","true","0","1482","true","false"
"337","0","0.1","4","0","true","0","1127","true","false"
"340","0","0.1","4","0","true","0","911","true","false"
"343","0","0.1","4","0","true","0","346","true","false"
"341","0","0.1","4","0","true","0","1169","true","false"
"342","0","0.1","4","0","true","0","1086","true","false"
"338","0","0.1","4","0","true","0","2045","true","false"
"347","0","0.1","4","0","true","0","685","true","false"
"344","0","0.1","4","0","true","0","760","true","false"
"345","0","0.1","4","0","true","0","1145","true","false"
"346","0","0.1","4","0","true","0","1515","true","false"
"348","0","0.1","4","0","true","0","1020","true","false"
"349","0","0.1","4","0","true","0","1432","true","false"
"350","0","0.1","4","0","true","0","2679","true","false"
"351","0","0.1","4","0","true","0","2396","true","false"
"354","0","0.1","4","0","true","0","102","false","true"
"353","0","0.1","4","0","true","0","2081","true","false"
"352","0","0.1","4","0","true","0","3151","true","false"
"355","0","0.1","4","0","true","0","1175","true","false"
"357","0","0.1","4","0","true","0","599","true","false"
"358","0","0.1","4","0","true","0","839","true","false"
"359","0","0.1","4","0","true","0","894","true","false"
"362","0","0.1","4","0","true","0","61","false","true"
"360","0","0.1","4","0","true","0","949","true","false"
"356","0","0.1","4","0","true","0","2544","true","false"
"364","0","0.1","4","0","true","0","578","true","false"
"361","0","0.1","4","0","true","0","1285","true","false"
"365","0","0.1","4","0","true","0","1045","true","false"
"366","0","0.1","4","0","true","0","906","true","false"
"363","0","0.1","4","0","true","0","2236","true","false"
"369","0","0.1","4","0","true","0","733","true","false"
"368","0","0.1","4","0","true","0","1468","true","false"
"367","0","0.1","4","0","true","0","2038","true","false"
"370","0","0.1","4","0","true","0","948","true","false"
"373","0","0.1","4","0","true","0","703","true","false"
"372","0","0.1","4","0","true","0","1588","true","false"
"374","0","0.1","4","0","true","0","1460","true","false"
"375","0","0.1","4","0","true","0","1408","true","false"
"371","0","0.1","4","0","true","0","2499","true","false"
"377","0","0.1","4","0","true","0","1080","true","false"
"379","0","0.1","4","0","true","0","548","true","false"
"376","0","0.1","4","0","true","0","1964","true","false"
"380","0","0.1","4","0","true","0","969","true","false"
"381","0","0.1","4","0","true","0","2024","true","false"
"382","0","0.1","4","0","true","0","1954","true","false"
"378","0","0.1","4","0","true","0","3700","true","false"
"384","0","0.1","4","0","true","0","673","true","false"
"387","0","0.1","4","0","true","0","303","true","false"
"385","0","0.1","4","0","true","0","1102","true","false"
"383","0","0.1","4","0","true","0","2867","true","false"
"386","0","0.1","4","0","true","0","923","true","false"
"390","0","0.1","4","0","true","0","782","true","false"
"391","0","0.1","4","0","true","0","713","true","false"
"388","0","0.1","4","0","true","0","1875","true","false"
"393","0","0.1","4","0","true","0","1052","true","false"
"389","0","0.1","4","0","true","0","2146","true","false"
"394","0","0.1","4","0","true","0","808","true","false"
"395","0","0.1","4","0","true","0","1290","true","false"
"396","0","0.1","4","0","true","0","1396","true","false"
"397","0","0.1","4","0","true","0","901","true","false"
"398","0","0.1","4","0","true","0","986","true","false"
"392","0","0.1","4","0","true","0","3565","true","false"
"400","0","0.1","4","0","true","0","856","true","false"
"401","0","0.2","1","0","true","0","728","true","false"
"402","0","0.2","1","0","true","0","639","true","false"
"404","0","0.2","1","0","true","0","388","true","false"
"403","0","0.2","1","0","true","0","741","true","false"
"399","0","0.1","4","0","true","0","2293","true","false"
"405","0","0.2","1","0","true","0","908","true","false"
"407","0","0.2","1","0","true","0","323","true","false"
"406","0","0.2","1","0","true","0","978","true","false"
"410","0","0.2","1","0","true","0","409","true","false"
"412","0","0.2","1","0","true","0","276","true","false"
"408","0","0.2","1","0","true","0","881","true","false"
"409","0","0.2","1","0","true","0","791","true","false"
"415","0","0.2","1","0","true","0","89","false","true"
"414","0","0.2","1","0","true","0","371","true","false"
"413","0","0.2","1","0","true","0","478","true","false"
"411","0","0.2","1","0","true","0","884","true","false"
"416","0","0.2","1","0","true","0","445","true","false"
"420","0","0.2","1","0","true","0","43","false","true"
"421","0","0.2","1","0","true","0","238","true","false"
"419","0","0.2","1","0","true","0","523","true","false"
"417","0","0.2","1","0","true","0","736","true","false"
"418","0","0.2","1","0","true","0","663","true","false"
"422","0","0.2","1","0","true","0","704","true","false"
"423","0","0.2","1","0","true","0","646","true","false"
"425","0","0.2","1","0","true","0","589","true","false"
"424","0","0.2","1","0","true","0","796","true","false"
"426","0","0.2","1","0","true","0","360","true","false"
"427","0","0.2","1","0","true","0","281","true","false"
"430","0","0.2","1","0","true","0","430","true","false"
"428","0","0.2","1","0","true","0","533","true","false"
"429","0","0.2","1","0","true","0","590","true","false"
"431","0","0.2","1","0","true","0","650","true","false"
"433","0","0.2","1","0","true","0","444","true","false"
"435","0","0.2","1","0","true","0","460","true","false"
"436","0","0.2","1","0","true","0","466","true","false"
"432","0","0.2","1","0","true","0","1104","true","false"
"434","0","0.2","1","0","true","0","976","true","false"
"437","0","0.2","1","0","true","0","372","true","false"
"439","0","0.2","1","0","true","0","309","true","false"
"438","0","0.2","1","0","true","0","357","true","false"
"440","0","0.2","1","0","true","0","542","true","false"
"442","0","0.2","1","0","true","0","430","true","false"
"441","0","0.2","1","0","true","0","1050","true","false"
"444","0","0.2","1","0","true","0","609","true","false"
"445","0","0.2","1","0","true","0","617","true","false"
"443","0","0.2","1","0","true","0","1019","true","false"
"447","0","0.2","1","0","true","0","441","true","false"
"448","0","0.2","1","0","true","0","325","true","false"
"446","0","0.2","1","0","true","0","727","true","false"
"451","0","0.2","1","0","true","0","314","true","false"
"450","0","0.2","1","0","true","0","394","true","false"
"452","0","0.2","1","0","true","0","416","true","false"
"449","0","0.2","1","0","true","0","740","true","false"
"454","0","0.2","1","0","true","0","290","true","false"
"453","0","0.2","1","0","true","0","345","true","false"
"457","0","0.2","1","0","true","0","234","true","false"
"455","0","0.2","1","0","true","0","362","true","false"
"456","0","0.2","1","0","true","0","282","true","false"
"461","0","0.2","1","0","true","0","36","false","true"
"458","0","0.2","1","0","true","0","527","true","false"
"459","0","0.2","1","0","true","0","572","true","false"
"462","0","0.2","1","0","true","0","501","true","false"
"460","0","0.2","1","0","true","0","633","true","false"
"463","0","0.2","1","0","true","0","349","true","false"
"464","0","0.2","1","0","true","0","164","true","false"
"467","0","0.2","1","0","true","0","146","true","false"
"466","0","0.2","1","0","true","0","334","true","false"
"465","0","0.2","1","0","true","0","539","true","false"
"470","0","0.2","1","0","true","0","300","true","false"
"468","0","0.2","1","0","true","0","605","true","false"
"469","0","0.2","1","0","true","0","791","true","false"
"472","0","0.2","1","0","true","0","406","true","false"
"471","0","0.2","1","0","true","0","590","true","false"
"474","0","0.2","1","0","true","0","389","true","false"
"475","0","0.2","1","0","true","0","387","true","false"
"477","0","0.2","1","0","true","0","229","true","false"
"478","0","0.2","1","0","true","0","223","true","false"
"473","0","0.2","1","0","true","0","1288","true","false"
"480","0","0.2","1","0","true","0","380","true","false"
"482","0","0.2","1","0","true","0","27","false","true"
"479","0","0.2","1","0","true","0","610","true","false"
"484","0","0.2","1","0","true","0","213","true","false"
"476","0","0.2","1","0","true","0","1086","true","false"
"481","0","0.2","1","0","true","0","474","true","false"
"487","0","0.2","1","0","true","0","291","true","false"
"486","0","0.2","1","0","true","0","394","true","false"
"485","0","0.2","1","0","true","0","471","true","false"
"488","0","0.2","1","0","true","0","313","true","false"
"489","0","0.2","1","0","true","0","431","true","false"
"490","0","0.2","1","0","true","0","678","true","false"
"483","0","0.2","1","0","true","0","1744","true","false"
"494","0","0.2","1","0","true","0","34","false","true"
"492","0","0.2","1","0","true","0","844","true","false"
"493","0","0.2","1","0","true","0","904","true","false"
"495","0","0.2","1","0","true","0","724","true","false"
"491","0","0.2","1","0","true","0","1556","true","false"
"499","0","0.2","1","0","true","0","42","false","true"
"496","0","0.2","1","0","true","0","351","true","false"
"500","0","0.2","1","0","true","0","40","false","true"
"501","0","0.2","2","0","true","0","308","true","false"
"502","0","0.2","2","0","true","0","456","true","false"
"497","0","0.2","1","0","true","0","703","true","false"
"498","0","0.2","1","0","true","0","650","true","false"
"503","0","0.2","2","0","true","0","370","true","false"
"504","0","0.2","2","0","true","0","438","true","false"
"505","0","0.2","2","0","true","0","479","true","false"
"506","0","0.2","2","0","true","0","410","true","false"
"509","0","0.2","2","0","true","0","28","false","true"
"511","0","0.2","2","0","true","0","114","false","true"
"507","0","0.2","2","0","true","0","370","true","false"
"510","0","0.2","2","0","true","0","410","true","false"
"508","0","0.2","2","0","true","0","489","true","false"
