"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - github version.nlogo"
"10_plays_per_learn"
"04/19/2022 19:17:34:086 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","[step]","success?","collapse?"
"107","false","0.1","0","false","0.2","10","0","466","true","false"
"112","false","0.1","0","false","0.2","10","0","29","false","true"
"113","false","0.1","0","false","0.2","10","0","26","false","true"
"114","false","0.1","0","false","0.2","10","0","21","false","true"
"109","false","0.1","0","false","0.2","10","0","440","true","false"
"116","false","0.1","0","false","0.2","10","0","59","false","true"
"110","false","0.1","0","false","0.2","10","0","414","true","false"
"115","false","0.1","0","false","0.2","10","0","372","true","false"
"111","false","0.1","0","false","0.2","10","0","569","true","false"
"118","false","0.1","0","false","0.2","10","0","315","true","false"
"120","false","0.1","0","false","0.2","10","0","17","false","true"
"117","false","0.1","0","false","0.2","10","0","390","true","false"
"123","false","0.1","0","false","0.2","10","0","338","true","false"
"122","false","0.1","0","false","0.2","10","0","446","true","false"
"119","false","0.1","0","false","0.2","10","0","520","true","false"
"124","false","0.1","0","false","0.2","10","0","22","false","true"
"125","false","0.1","0","false","0.2","10","0","43","false","true"
"121","false","0.1","0","false","0.2","10","0","539","true","false"
"128","false","0.1","0","false","0.2","10","0","343","true","false"
"127","false","0.1","0","false","0.2","10","0","366","true","false"
"126","false","0.1","0","false","0.2","10","0","526","true","false"
"129","false","0.1","0","false","0.2","10","0","587","true","false"
"130","false","0.1","0","false","0.2","10","0","438","true","false"
"131","false","0.1","0","false","0.2","10","0","411","true","false"
"135","false","0.1","0","false","0.2","10","0","66","false","true"
"132","false","0.1","0","false","0.2","10","0","520","true","false"
"133","false","0.1","0","false","0.2","10","0","457","true","false"
"136","false","0.1","0","false","0.2","10","0","293","true","false"
"134","false","0.1","0","false","0.2","10","0","464","true","false"
"137","false","0.1","0","false","0.2","10","0","348","true","false"
"138","false","0.1","0","false","0.2","10","0","397","true","false"
"142","false","0.1","0","false","0.2","10","0","36","false","true"
"143","false","0.1","0","false","0.2","10","0","32","false","true"
"140","false","0.1","0","false","0.2","10","0","356","true","false"
"145","false","0.1","0","false","0.2","10","0","26","false","true"
"146","false","0.1","0","false","0.2","10","0","33","false","true"
"139","false","0.1","0","false","0.2","10","0","463","true","false"
"141","false","0.1","0","false","0.2","10","0","581","true","false"
"144","false","0.1","0","false","0.2","10","0","469","true","false"
"148","false","0.1","0","false","0.2","10","0","352","true","false"
"147","false","0.1","0","false","0.2","10","0","586","true","false"
"152","false","0.1","0","false","0.2","10","0","40","false","true"
"153","false","0.1","0","false","0.2","10","0","43","false","true"
"150","false","0.1","0","false","0.2","10","0","358","true","false"
"149","false","0.1","0","false","0.2","10","0","565","true","false"
"151","false","0.1","0","false","0.2","10","0","501","true","false"
"154","false","0.1","0","false","0.2","10","0","358","true","false"
"155","false","0.1","0","false","0.2","10","0","427","true","false"
"156","false","0.1","0","false","0.2","10","0","316","true","false"
"160","false","0.1","0","false","0.2","10","0","27","false","true"
"161","false","0.1","0","false","0.2","10","0","31","false","true"
"157","false","0.1","0","false","0.2","10","0","304","true","false"
"163","false","0.1","0","false","0.2","10","0","32","false","true"
