"[run number]","mr_marker","random-pairing","game","initial_proportion_ethnic_learning","mr_learning_style","ethnic_bias?","mr_strategy","[step]","success?","collapse?"
"53","0","0.1","1","0.1","0","true","0","20","false","true"
"54","0","0.1","1","0.1","0","true","0","21","false","true"
"52","0","0.1","1","0.1","0","true","0","31","false","true"
"59","0","0.1","1","0.1","0","true","0","18","false","true"
"58","0","0.1","1","0.1","0","true","0","23","false","true"
"56","0","0.1","1","0.1","0","true","0","30","false","true"
"57","0","0.1","1","0.1","0","true","0","32","false","true"
"63","0","0.1","1","0.1","0","true","0","13","false","true"
"62","0","0.1","1","0.1","0","true","0","22","false","true"
"60","0","0.1","1","0.1","0","true","0","31","false","true"
"61","0","0.1","1","0.1","0","true","0","31","false","true"
"65","0","0.1","1","0.1","0","true","0","19","false","true"
"64","0","0.1","1","0.1","0","true","0","29","false","true"
"66","0","0.1","1","0.1","0","true","0","32","false","true"
"67","0","0.1","1","0.1","0","true","0","31","false","true"
"69","0","0.1","1","0.1","0","true","0","19","false","true"
"68","0","0.1","1","0.1","0","true","0","33","false","true"
"70","0","0.1","1","0.1","0","true","0","22","false","true"
"71","0","0.1","1","0.1","0","true","0","16","false","true"
"72","0","0.1","1","0.1","0","true","0","19","false","true"
"73","0","0.1","1","0.1","0","true","0","21","false","true"
"74","0","0.1","1","0.1","0","true","0","20","false","true"
"75","0","0.1","1","0.1","0","true","0","20","false","true"
"76","0","0.1","1","0.1","0","true","0","19","false","true"
"77","0","0.1","1","0.1","0","true","0","18","false","true"
"78","0","0.1","1","0.1","0","true","0","16","false","true"
"79","0","0.1","1","0.1","0","true","0","14","false","true"
"80","0","0.1","1","0.1","0","true","0","26","false","true"
"81","0","0.1","1","0.1","0","true","0","15","false","true"
"83","0","0.1","1","0.1","0","true","0","17","false","true"
"82","0","0.1","1","0.1","0","true","0","25","false","true"
"86","0","0.1","1","0.1","0","true","0","17","false","true"
"84","0","0.1","1","0.1","0","true","0","24","false","true"
"87","0","0.1","1","0.1","0","true","0","18","false","true"
"85","0","0.1","1","0.1","0","true","0","31","false","true"
"88","0","0.1","1","0.1","0","true","0","16","false","true"
"89","0","0.1","1","0.1","0","true","0","19","false","true"
"90","0","0.1","1","0.1","0","true","0","17","false","true"
"91","0","0.1","1","0.1","0","true","0","16","false","true"
"92","0","0.1","1","0.1","0","true","0","16","false","true"
"94","0","0.1","1","0.1","0","true","0","21","false","true"
"93","0","0.1","1","0.1","0","true","0","27","false","true"
"96","0","0.1","1","0.1","0","true","0","19","false","true"
"95","0","0.1","1","0.1","0","true","0","30","false","true"
"97","0","0.1","1","0.1","0","true","0","17","false","true"
"98","0","0.1","1","0.1","0","true","0","23","false","true"
"99","0","0.1","1","0.1","0","true","0","18","false","true"
"100","0","0.1","1","0.1","0","true","0","22","false","true"
"101","0","0.1","1","0.2","0","true","0","23","false","true"
"102","0","0.1","1","0.2","0","true","0","22","false","true"
"104","0","0.1","1","0.2","0","true","0","21","false","true"
"103","0","0.1","1","0.2","0","true","0","30","false","true"
"105","0","0.1","1","0.2","0","true","0","32","false","true"
"107","0","0.1","1","0.2","0","true","0","17","false","true"
"108","0","0.1","1","0.2","0","true","0","29","false","true"
"109","0","0.1","1","0.2","0","true","0","24","false","true"
"110","0","0.1","1","0.2","0","true","0","24","false","true"
"106","0","0.1","1","0.2","0","true","0","59","false","true"
"111","0","0.1","1","0.2","0","true","0","24","false","true"
"112","0","0.1","1","0.2","0","true","0","34","false","true"
"113","0","0.1","1","0.2","0","true","0","32","false","true"
"115","0","0.1","1","0.2","0","true","0","16","false","true"
"114","0","0.1","1","0.2","0","true","0","29","false","true"
"116","0","0.1","1","0.2","0","true","0","18","false","true"
"117","0","0.1","1","0.2","0","true","0","17","false","true"
"118","0","0.1","1","0.2","0","true","0","27","false","true"
"120","0","0.1","1","0.2","0","true","0","24","false","true"
"122","0","0.1","1","0.2","0","true","0","17","false","true"
"121","0","0.1","1","0.2","0","true","0","83","false","true"
"124","0","0.1","1","0.2","0","true","0","49","false","true"
"119","0","0.1","1","0.2","0","true","0","104","false","true"
"125","0","0.1","1","0.2","0","true","0","22","false","true"
"126","0","0.1","1","0.2","0","true","0","24","false","true"
"127","0","0.1","1","0.2","0","true","0","20","false","true"
"128","0","0.1","1","0.2","0","true","0","28","false","true"
"130","0","0.1","1","0.2","0","true","0","22","false","true"
"129","0","0.1","1","0.2","0","true","0","31","false","true"
"131","0","0.1","1","0.2","0","true","0","20","false","true"
"133","0","0.1","1","0.2","0","true","0","18","false","true"
"134","0","0.1","1","0.2","0","true","0","26","false","true"
"135","0","0.1","1","0.2","0","true","0","29","false","true"
"136","0","0.1","1","0.2","0","true","0","26","false","true"
"137","0","0.1","1","0.2","0","true","0","18","false","true"
"138","0","0.1","1","0.2","0","true","0","18","false","true"
"123","0","0.1","1","0.2","0","true","0","1148","true","false"
"141","0","0.1","1","0.2","0","true","0","25","false","true"
"142","0","0.1","1","0.2","0","true","0","26","false","true"
"132","0","0.1","1","0.2","0","true","0","1142","true","false"
"143","0","0.1","1","0.2","0","true","0","56","false","true"
"145","0","0.1","1","0.2","0","true","0","24","false","true"
"146","0","0.1","1","0.2","0","true","0","45","false","true"
"147","0","0.1","1","0.2","0","true","0","18","false","true"
"148","0","0.1","1","0.2","0","true","0","22","false","true"
"149","0","0.1","1","0.2","0","true","0","24","false","true"
"150","0","0.1","1","0.2","0","true","0","25","false","true"
"151","0","0.1","1","0.2","0","true","0","29","false","true"
"139","0","0.1","1","0.2","0","true","0","1186","true","false"
"153","0","0.1","1","0.2","0","true","0","37","false","true"
"152","0","0.1","1","0.2","0","true","0","43","false","true"
"155","0","0.1","1","0.2","0","true","0","21","false","true"
"154","0","0.1","1","0.2","0","true","0","33","false","true"
"156","0","0.1","1","0.2","0","true","0","16","false","true"
"157","0","0.1","1","0.2","0","true","0","25","false","true"
"158","0","0.1","1","0.2","0","true","0","25","false","true"
"159","0","0.1","1","0.2","0","true","0","14","false","true"
"160","0","0.1","1","0.2","0","true","0","27","false","true"
"161","0","0.1","1","0.2","0","true","0","20","false","true"
"140","0","0.1","1","0.2","0","true","0","1451","true","false"
"162","0","0.1","1","0.2","0","true","0","26","false","true"
"163","0","0.1","1","0.2","0","true","0","24","false","true"
"165","0","0.1","1","0.2","0","true","0","16","false","true"
"166","0","0.1","1","0.2","0","true","0","24","false","true"
"167","0","0.1","1","0.2","0","true","0","16","false","true"
"169","0","0.1","1","0.2","0","true","0","18","false","true"
"168","0","0.1","1","0.2","0","true","0","25","false","true"
"170","0","0.1","1","0.2","0","true","0","21","false","true"
"172","0","0.1","1","0.2","0","true","0","17","false","true"
"171","0","0.1","1","0.2","0","true","0","49","false","true"
"173","0","0.1","1","0.2","0","true","0","25","false","true"
"164","0","0.1","1","0.2","0","true","0","123","false","true"
"174","0","0.1","1","0.2","0","true","0","19","false","true"
"176","0","0.1","1","0.2","0","true","0","43","false","true"
"175","0","0.1","1","0.2","0","true","0","57","false","true"
"178","0","0.1","1","0.2","0","true","0","44","false","true"
"180","0","0.1","1","0.2","0","true","0","37","false","true"
"181","0","0.1","1","0.2","0","true","0","28","false","true"
"182","0","0.1","1","0.2","0","true","0","22","false","true"
"183","0","0.1","1","0.2","0","true","0","43","false","true"
"184","0","0.1","1","0.2","0","true","0","18","false","true"
"185","0","0.1","1","0.2","0","true","0","23","false","true"
"186","0","0.1","1","0.2","0","true","0","42","false","true"
"187","0","0.1","1","0.2","0","true","0","58","false","true"
"188","0","0.1","1","0.2","0","true","0","15","false","true"
"189","0","0.1","1","0.2","0","true","0","48","false","true"
"190","0","0.1","1","0.2","0","true","0","20","false","true"
"191","0","0.1","1","0.2","0","true","0","27","false","true"
"192","0","0.1","1","0.2","0","true","0","52","false","true"
"193","0","0.1","1","0.2","0","true","0","42","false","true"
"194","0","0.1","1","0.2","0","true","0","19","false","true"
"195","0","0.1","1","0.2","0","true","0","49","false","true"
"196","0","0.1","1","0.2","0","true","0","21","false","true"
"197","0","0.1","1","0.2","0","true","0","19","false","true"
"177","0","0.1","1","0.2","0","true","0","710","true","false"
"198","0","0.1","1","0.2","0","true","0","20","false","true"
"199","0","0.1","1","0.2","0","true","0","26","false","true"
"200","0","0.1","1","0.2","0","true","0","32","false","true"
"202","0","0.1","1","0.3","0","true","0","61","false","true"
"201","0","0.1","1","0.3","0","true","0","81","false","true"
"203","0","0.1","1","0.3","0","true","0","29","false","true"
"179","0","0.1","1","0.2","0","true","0","1012","true","false"
"205","0","0.1","1","0.3","0","true","0","736","true","false"
"207","0","0.1","1","0.3","0","true","0","48","false","true"
"144","0","0.1","1","0.2","0","true","0","2777","true","false"
"209","0","0.1","1","0.3","0","true","0","28","false","true"
"204","0","0.1","1","0.3","0","true","0","1521","true","false"
"211","0","0.1","1","0.3","0","true","0","32","false","true"
"210","0","0.1","1","0.3","0","true","0","1099","true","false"
"206","0","0.1","1","0.3","0","true","0","3175","true","false"
"214","0","0.1","1","0.3","0","true","0","72","false","true"
"213","0","0.1","1","0.3","0","true","0","1022","true","false"
"208","0","0.1","1","0.3","0","true","0","2664","true","false"
"217","0","0.1","1","0.3","0","true","0","23","false","true"
"218","0","0.1","1","0.3","0","true","0","23","false","true"
"212","0","0.1","1","0.3","0","true","0","1915","true","false"
"220","0","0.1","1","0.3","0","true","0","26","false","true"
"221","0","0.1","1","0.3","0","true","0","96","false","true"
"219","0","0.1","1","0.3","0","true","0","1237","true","false"
"215","0","0.1","1","0.3","0","true","0","1407","true","false"
"216","0","0.1","1","0.3","0","true","0","2463","true","false"
"225","0","0.1","1","0.3","0","true","0","82","false","true"
"226","0","0.1","1","0.3","0","true","0","85","false","true"
"223","0","0.1","1","0.3","0","true","0","1796","true","false"
"222","0","0.1","1","0.3","0","true","0","2228","true","false"
"229","0","0.1","1","0.3","0","true","0","18","false","true"
"227","0","0.1","1","0.3","0","true","0","1097","true","false"
"231","0","0.1","1","0.3","0","true","0","90","false","true"
"224","0","0.1","1","0.3","0","true","0","2542","true","false"
"233","0","0.1","1","0.3","0","true","0","41","false","true"
"232","0","0.1","1","0.3","0","true","0","548","true","false"
"228","0","0.1","1","0.3","0","true","0","1357","true","false"
"235","0","0.1","1","0.3","0","true","0","56","false","true"
