"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - github version.nlogo"
"sensitivity_to_random_pairing"
"04/19/2022 14:20:24:101 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","[step]","success?","collapse?"
"107","false","0.1","0","false","0.5","1","0","968","true","false"
"104","false","0.1","0","false","0.5","1","0","2060","true","false"
"105","false","0.1","0","false","0.5","1","0","1803","true","false"
"108","false","0.1","0","false","0.5","1","0","1004","true","false"
"111","false","0.1","0","false","0.5","1","0","718","true","false"
"109","false","0.1","0","false","0.5","1","0","1028","true","false"
"110","false","0.1","0","false","0.5","1","0","1039","true","false"
"112","false","0.1","0","false","0.5","1","0","959","true","false"
"113","false","0.1","0","false","0.5","1","0","622","true","false"
"114","false","0.1","0","false","0.5","1","0","779","true","false"
"115","false","0.1","0","false","0.5","1","0","798","true","false"
"116","false","0.1","0","false","0.5","1","0","1236","true","false"
"118","false","0.1","0","false","0.5","1","0","1515","true","false"
"117","false","0.1","0","false","0.5","1","0","1720","true","false"
"119","false","0.1","0","false","0.5","1","0","1629","true","false"
"120","false","0.1","0","false","0.5","1","0","798","true","false"
"124","false","0.1","0","false","0.5","1","0","624","true","false"
"121","false","0.1","0","false","0.5","1","0","1549","true","false"
"123","false","0.1","0","false","0.5","1","0","1610","true","false"
"122","false","0.1","0","false","0.5","1","0","1849","true","false"
"125","false","0.1","0","false","0.5","1","0","1848","true","false"
"128","false","0.1","0","false","0.5","1","0","634","true","false"
"127","false","0.1","0","false","0.5","1","0","1867","true","false"
"129","false","0.1","0","false","0.5","1","0","1917","true","false"
"130","false","0.1","0","false","0.5","1","0","2090","true","false"
"131","false","0.1","0","false","0.5","1","0","1442","true","false"
"126","false","0.1","0","false","0.5","1","0","3935","true","false"
"134","false","0.1","0","false","0.5","1","0","956","true","false"
"133","false","0.1","0","false","0.5","1","0","1127","true","false"
"132","false","0.1","0","false","0.5","1","0","1649","true","false"
"135","false","0.1","0","false","0.5","1","0","947","true","false"
"138","false","0.1","0","false","0.5","1","0","774","true","false"
"136","false","0.1","0","false","0.5","1","0","1250","true","false"
"139","false","0.1","0","false","0.5","1","0","1014","true","false"
"141","false","0.1","0","false","0.5","1","0","833","true","false"
"140","false","0.1","0","false","0.5","1","0","1145","true","false"
"137","false","0.1","0","false","0.5","1","0","1993","true","false"
"143","false","0.1","0","false","0.5","1","0","1438","true","false"
"144","false","0.1","0","false","0.5","1","0","1610","true","false"
"145","false","0.1","0","false","0.5","1","0","1252","true","false"
"147","false","0.1","0","false","0.5","1","0","629","true","false"
"142","false","0.1","0","false","0.5","1","0","3132","true","false"
"146","false","0.1","0","false","0.5","1","0","1071","true","false"
"149","false","0.1","0","false","0.5","1","0","1161","true","false"
"151","false","0.1","0","false","0.5","1","0","1033","true","false"
"148","false","0.1","0","false","0.5","1","0","1902","true","false"
"150","false","0.1","0","false","0.5","1","0","1990","true","false"
"154","false","0.1","0","false","0.5","1","0","792","true","false"
"153","false","0.1","0","false","0.5","1","0","2022","true","false"
"152","false","0.1","0","false","0.5","1","0","2146","true","false"
"156","false","0.1","0","false","0.5","1","0","1003","true","false"
"155","false","0.1","0","false","0.5","1","0","1274","true","false"
"157","false","0.1","0","false","0.5","1","0","882","true","false"
"159","false","0.1","0","false","0.5","1","0","1090","true","false"
"158","false","0.1","0","false","0.5","1","0","1507","true","false"
"161","false","0.1","0","false","0.5","1","0","1570","true","false"
"164","false","0.1","0","false","0.5","1","0","135","false","true"
"163","false","0.1","0","false","0.5","1","0","1227","true","false"
"160","false","0.1","0","false","0.5","1","0","3283","true","false"
"162","false","0.1","0","false","0.5","1","0","2298","true","false"
"166","false","0.1","0","false","0.5","1","0","1225","true","false"
"169","false","0.1","0","false","0.5","1","0","651","true","false"
"168","false","0.1","0","false","0.5","1","0","1560","true","false"
"167","false","0.1","0","false","0.5","1","0","2138","true","false"
"170","false","0.1","0","false","0.5","1","0","1373","true","false"
"165","false","0.1","0","false","0.5","1","0","4072","true","false"
"172","false","0.1","0","false","0.5","1","0","996","true","false"
"171","false","0.1","0","false","0.5","1","0","1679","true","false"
